date,timezone,total_tokens,driver,evidence,sources,fidelity
2025-08-31,UTC,531,unknown,synthetic: no defensible driver recoverable from demo evidence,claude_chat,mixed
2025-09-01,UTC,51448,building:spec,synthetic: representative spec-writing day,codex perplexity_api qwen_local,mixed
2025-09-03,UTC,22077,maintenance:hygiene,synthetic: representative hygiene day,claude_chat perplexity_api qwen_local,mixed
2025-09-05,UTC,6939,maintenance:hygiene,synthetic: representative hygiene day,qwen_local,mixed
2025-09-06,UTC,3621,research,synthetic: representative research day,qwen_local,mixed
2025-09-07,UTC,34072,fixing:security,synthetic: representative security-fixing day,codex openai_api,exact
2025-09-09,UTC,21440,maintenance:docs,synthetic: representative documentation day,claude_code perplexity_api qwen_local,mixed
2025-09-10,UTC,34306,research,synthetic: representative research day,codex qwen_local,mixed
2025-09-11,UTC,62593,fixing:bug,synthetic: representative bug-fixing day,claude_code openai_api qwen_local,mixed
2025-09-12,UTC,28976,research,synthetic: representative research day,claude_code perplexity_api,mixed
2025-09-14,UTC,3874,building:infra,synthetic: representative infrastructure day,qwen_local,mixed
2025-09-16,UTC,42903,unknown,synthetic: no defensible driver recoverable from demo evidence,openai_api perplexity_api qwen_local,mixed
2025-09-17,UTC,47124,career,synthetic: representative career day,claude_code codex openai_api,exact
2025-09-18,UTC,35122,maintenance:docs,synthetic: representative documentation day,codex,exact
2025-09-20,UTC,9428,building:feature,synthetic: representative feature-building day,claude_chat claude_code qwen_local,mixed
2025-09-23,UTC,45074,maintenance:hygiene,synthetic: representative hygiene day,claude_chat codex perplexity_api,mixed
2025-09-26,UTC,25567,maintenance:hygiene,synthetic: representative hygiene day,codex,exact
2025-09-27,UTC,20923,building:content,synthetic: representative content-building day,claude_code,exact
2025-09-30,UTC,26049,unknown,synthetic: no defensible driver recoverable from demo evidence,codex,exact
2025-10-01,UTC,41799,building:content,synthetic: representative content-building day,claude_chat openai_api qwen_local,mixed
2025-10-02,UTC,1366,research,synthetic: representative research day,perplexity_api,mixed
2025-10-04,UTC,44489,writing,synthetic: representative writing day,claude_chat claude_code,mixed
2025-10-06,UTC,40765,strategy,synthetic: representative strategy day,claude_chat codex,mixed
2025-10-07,UTC,39223,shipping,synthetic: representative shipping day,claude_chat claude_code codex,mixed
2025-10-09,UTC,35928,mixed,"synthetic: mixed activity, no single dominant driver",claude_chat codex,mixed
2025-10-10,UTC,28385,strategy,synthetic: representative strategy day,openai_api,exact
2025-10-11,UTC,21511,fixing:bug,synthetic: representative bug-fixing day,openai_api,exact
2025-10-13,UTC,3937,building:spec,synthetic: representative spec-writing day,qwen_local,mixed
2025-10-14,UTC,75809,maintenance:sync,synthetic: representative sync-maintenance day,codex openai_api,exact
2025-10-15,UTC,10027,building:content,synthetic: representative content-building day,claude_chat qwen_local,mixed
2025-10-16,UTC,28775,maintenance:docs,synthetic: representative documentation day,claude_code qwen_local,mixed
2025-10-17,UTC,27992,writing,synthetic: representative writing day,codex perplexity_api,mixed
2025-10-18,UTC,36062,maintenance:hygiene,synthetic: representative hygiene day,openai_api perplexity_api qwen_local,mixed
2025-10-19,UTC,54433,strategy,synthetic: representative strategy day,claude_chat claude_code openai_api,mixed
2025-10-21,UTC,32610,building:spec,synthetic: representative spec-writing day,openai_api qwen_local,mixed
2025-10-22,UTC,11768,maintenance:docs,synthetic: representative documentation day,perplexity_api qwen_local,mixed
2025-10-23,UTC,5018,strategy,synthetic: representative strategy day,perplexity_api,mixed
2025-10-26,UTC,67206,maintenance:hygiene,synthetic: representative hygiene day,claude_chat codex openai_api,mixed
2025-10-29,UTC,47892,shipping,synthetic: representative shipping day,claude_chat codex openai_api,mixed
2025-10-31,UTC,3758,fixing:bug,synthetic: representative bug-fixing day,qwen_local,mixed
2025-11-01,UTC,11303,writing,synthetic: representative writing day,claude_chat openai_api perplexity_api,mixed
2025-11-02,UTC,4496,strategy,synthetic: representative strategy day,claude_chat,mixed
2025-11-05,UTC,77497,building:spec,synthetic: representative spec-writing day,claude_code codex openai_api,exact
2025-11-06,UTC,63997,shipping,synthetic: representative shipping day,claude_code codex openai_api,exact
2025-11-11,UTC,41727,fixing:data,synthetic: representative data-fixing day,claude_code codex perplexity_api,mixed
2025-11-12,UTC,40067,building:feature,synthetic: representative feature-building day,openai_api qwen_local,mixed
2025-11-13,UTC,43080,mixed,"synthetic: mixed activity, no single dominant driver",claude_chat claude_code qwen_local,mixed
2025-11-14,UTC,54280,maintenance:hygiene,synthetic: representative hygiene day,claude_chat codex openai_api,mixed
2025-11-17,UTC,37079,building:feature,synthetic: representative feature-building day,claude_chat openai_api perplexity_api,mixed
2025-11-19,UTC,53434,maintenance:deps,synthetic: representative dependency day,claude_chat codex openai_api,mixed
2025-11-21,UTC,62707,fixing:bug,synthetic: representative bug-fixing day,claude_chat claude_code openai_api,mixed
2025-11-23,UTC,8551,building:content,synthetic: representative content-building day,claude_chat openai_api,mixed
2025-11-24,UTC,2654,fixing:security,synthetic: representative security-fixing day,perplexity_api,mixed
2025-11-26,UTC,10463,mixed,"synthetic: mixed activity, no single dominant driver",claude_chat qwen_local,mixed
2025-11-27,UTC,65644,strategy,synthetic: representative strategy day,claude_code openai_api qwen_local,mixed
2025-11-28,UTC,36720,maintenance:docs,synthetic: representative documentation day,openai_api qwen_local,mixed
2025-12-01,UTC,49102,shipping,synthetic: representative shipping day,claude_chat claude_code openai_api,mixed
2025-12-03,UTC,19502,maintenance:docs,synthetic: representative documentation day,codex qwen_local,mixed
2025-12-06,UTC,23437,unknown,synthetic: no defensible driver recoverable from demo evidence,codex openai_api,exact
2025-12-08,UTC,11101,fixing:bug,synthetic: representative bug-fixing day,claude_chat claude_code,mixed
2025-12-10,UTC,42780,fixing:security,synthetic: representative security-fixing day,codex openai_api,exact
2025-12-12,UTC,24193,research,synthetic: representative research day,codex openai_api qwen_local,mixed
2025-12-13,UTC,78924,writing,synthetic: representative writing day,codex openai_api qwen_local,mixed
2025-12-16,UTC,13515,building:spec,synthetic: representative spec-writing day,claude_chat codex qwen_local,mixed
2025-12-18,UTC,30821,building:content,synthetic: representative content-building day,codex,exact
2025-12-19,UTC,27845,shipping,synthetic: representative shipping day,codex,exact
2025-12-21,UTC,41713,building:infra,synthetic: representative infrastructure day,codex perplexity_api qwen_local,mixed
2025-12-22,UTC,66702,maintenance:deps,synthetic: representative dependency day,claude_chat claude_code openai_api,mixed
2025-12-23,UTC,58517,research,synthetic: representative research day,claude_code codex qwen_local,mixed
2025-12-25,UTC,8697,strategy,synthetic: representative strategy day,qwen_local,mixed
2025-12-26,UTC,11497,building:spec,synthetic: representative spec-writing day,openai_api,exact
2025-12-29,UTC,39938,fixing:data,synthetic: representative data-fixing day,claude_code perplexity_api qwen_local,mixed
2025-12-30,UTC,26730,research,synthetic: representative research day,claude_chat openai_api perplexity_api,mixed
2025-12-31,UTC,14237,shipping,synthetic: representative shipping day,openai_api qwen_local,mixed
